,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,123887.00353991296,191373.76963797546,107115.64583728315,151398.26045878243,169228.32289607232,112651.9675466718,115415.70465386291,194110.35767648183,135864.56365982277,176101.17254362575,178395.01279206682,127578.57049907593,164393.126971942,153585.2166828366,194324.09804434143,132595.3026609665,170428.4270797406,124118.00351283161,,124724.52395900668,104211.58201004694,151798.7455469893,98256.07241141883,112763.7490427045,128171.73036844152,115490.60124214314,108802.11713583549,151864.8923733903,,130267.02902734702,136080.3718213752,105637.12894523542,98518.63826225617,119505.6907902474,86713.63041674494,84941.5022801404,97058.20062642073,71680.27571075792,122823.35793859304,,161740.34762109775,85121.97990507087,96199.12199038456,87236.94783404823,146779.138883006,,80988.559924855,107489.24019952412,114845.76997070412,88969.44243853605,105144.55587262014
2000-02-01,124207.5775308639,192017.0339991987,107347.66829723239,151937.38698608696,169684.50307172845,112713.18553574197,115479.27286852649,194758.4275898006,136110.65432676295,176498.39325914957,179028.4437599143,127680.8128539931,164930.8213418462,153604.41530918964,194234.19178713928,133045.74967476242,170521.8019580555,124399.854035499,,125144.35129129725,104412.59673752676,151777.69143851905,98466.23470921417,113012.68597884933,128366.72708797963,115683.98725543897,108892.88080929506,152198.8594081957,,130859.47232918507,136234.93037499604,105988.58561088673,98690.19467066023,119471.00664816375,86829.51905037767,84894.91768708004,96924.74784046611,71677.20741013433,122748.90053224334,,162356.5362910948,85165.9279654061,96311.87477334974,87254.07261170105,147007.49353730414,,81021.96791135383,107260.8610752761,115029.35568110012,89139.45886593428,105208.80873417572
2000-03-01,124547.461213018,192885.59840398212,107628.92576818318,152456.38321107737,170119.77932573555,112742.87721950305,115712.0004798831,195529.52852114188,136427.37753526913,176903.59375428408,179728.4505103129,127901.81429158618,165693.75420713224,153842.12367094588,194532.44008096957,133583.47485479878,170668.40030229746,124725.06246807061,,125534.952152053,104568.8020762251,151885.2456036251,98663.73081575106,113215.53180465166,128567.56979383585,115987.69327568727,108985.44980900288,152503.96171743024,,131481.63525003035,136389.40809503014,106302.39153206347,98805.14080206976,119604.70121020451,86961.00446484756,84892.89107202596,96774.85894077372,71700.37668383909,122796.07590473742,,162999.9396822198,85245.88966256763,96480.68399204512,87354.96214090602,147291.81563644824,,81177.69323966908,106941.26138880073,115199.50586993457,89299.96150007714,105306.25160476861
2000-04-01,125189.72833305126,194770.9927463966,108200.64986575926,153572.60300323056,171084.14776543158,112890.23967895696,116175.59296643839,197048.2722059162,137074.10807324285,177721.39194314144,181293.64043879986,128421.71725770283,167329.63925976306,154386.87450422093,195049.80270345966,134390.67488887403,171036.21808590446,125409.76896707737,,126451.83973796229,104920.95823418535,152144.77698619154,99066.19787104113,113680.52609012833,129003.23309756957,116584.45769474153,109208.16350884417,153144.19871714886,,132710.92765737366,136570.57435454094,106993.72404463973,99062.65455358336,119796.6993819459,87241.74707240156,84954.129404276,96319.21288689824,71759.01948933136,122894.0225477114,,164089.99173474417,85444.60179494368,96866.54397684037,87505.78496528276,147942.05383581342,,81461.2608984128,106510.47528892658,115463.63059312238,89646.64279840501,105592.78706770792
2000-05-01,125809.76688614767,196962.47965159078,108817.19269519253,154727.49147485473,172067.24556537785,112985.673918657,116859.25658395066,198692.23745003538,137807.18628500833,178613.96724637784,183040.6637586763,129038.59837871483,169145.16893880305,155081.03268065362,196063.27229727813,135274.20160345346,172369.20776907823,126164.97296310426,,127457.68424198874,105294.06410497842,152687.88170207536,99479.63230977209,114114.67073696032,129488.58622679987,117271.69122996612,109465.07123480375,153715.1539166635,,133935.86218166968,136843.30596357753,107644.9628569805,99349.86930060311,120179.75090797905,87518.64640749188,85252.12631409803,96099.0545898154,71873.42865292502,123213.40889939496,,164985.72553996983,85708.69573293898,97364.96324455105,87733.13686950994,148683.67944336953,,81842.13636256423,106331.25568325144,115597.57074527502,90029.67210163642,106029.68239532103
2000-06-01,126408.52377624712,199327.08765617138,109446.26502367783,155976.2452944464,173240.56283945346,113092.67893388413,117610.12475876191,200473.4433600042,138465.05099718706,179466.04785680122,184927.17064735232,129731.89405924099,171095.29486722325,155704.21539440492,197207.82875754507,136207.5614830938,173838.75054108084,126965.23500606457,,128620.63104990167,105700.49689480296,153344.52676725466,99904.53106451586,114592.8887682878,130004.88297232475,117913.36855129845,109720.04073908213,154245.11640133162,,134869.16943146355,137047.18924107894,108376.07345596689,99697.12343792342,120629.32929713,87784.49185740469,85678.47722815756,96164.0847017955,72063.48837459444,123603.75295970154,,165872.92865795005,85999.01289691446,97915.74806292739,87989.58425902505,149501.88257231683,,82203.21446742145,106208.45270756823,115676.83284021362,90416.28168700903,106571.77852734663
2000-07-01,127135.35109068074,201824.2826045097,110078.32884704166,157098.8705450897,174568.27951286754,113162.99778503482,118486.11268256915,202581.27218229556,139134.03480390276,180391.745212496,186838.6878198372,130483.86924240248,172946.69153328272,156187.21282565733,198352.4341265463,137502.8702846218,175311.93777621552,127773.87839248571,,129899.84304674878,106097.83189816117,154121.6782316953,100355.74733619671,115056.95457379786,130509.05473413416,118552.5442728259,109995.8432524609,154686.37258106406,,135722.14855023334,137472.62871391527,109162.28186505257,100018.66751280584,121224.69616620615,88041.4500585443,86072.22422094547,96636.65596064967,72313.24629946491,123989.7707354505,,166864.5119011361,86326.33770981501,98514.5537998576,88323.16546307628,150334.37032546886,,82577.11297473092,106122.81552090788,115768.63677301165,90808.89855733102,107107.67013369499
2000-08-01,127992.45299507499,204431.4859964021,110722.05344230722,158081.538223826,176181.6440561283,113371.02857808549,119370.35518969789,205175.17568905294,139776.64860719678,181247.09364839725,188913.72645965175,131554.2159169613,174539.21947435173,156652.5555707278,199676.86797696122,139020.34806975315,175918.7435534239,128628.66534506332,,131651.81229823228,106412.00315746925,154842.87542609728,100786.4821238189,115567.81699981542,130984.49595759231,119213.36770813791,110280.5023065672,155157.67601514517,,136576.85972984027,137672.72908597012,109980.19779677351,100309.24697335232,121882.71496623284,88333.7792558034,86447.2392314888,97118.3375503915,72639.94830086413,124379.63574911964,,168064.1216905951,86700.78798703197,99160.25622876179,88685.40488825913,151144.44519886372,,82925.17551794641,105965.46784373022,115988.34187465324,91144.64350383071,107628.52062692585
2000-09-01,128929.11241941185,207044.7397356839,111389.27856321468,158954.73282386689,177965.69717405012,113643.83024494741,120215.50955108185,208089.9080633448,140487.37527627478,182025.6670744434,191092.0264325156,132812.962499341,175735.4503282056,157212.61299366888,200986.02121838016,140650.62314666304,176449.3114616767,129502.3058276339,,133462.99045574953,106769.8124798931,155579.95263861775,101225.3605051883,116095.21308895551,131448.54630469097,119943.93001916043,110620.60214174203,155553.9813848771,,137629.9635245027,137855.2654931591,110831.36919233856,100620.94586590352,122541.86376019532,88664.41733379538,86781.30916477181,97494.7343726357,72932.48666926341,124706.00786474918,,169327.19771946452,87116.39511933537,99810.39247390389,89024.71358793987,151892.22150841853,,83241.57049370006,106184.67583010638,116256.71249442456,91494.86345848326,108140.29138240505
2000-10-01,129815.34426389857,209522.95216521164,112070.4112875552,159890.68255641812,179769.70249883007,113936.14247489399,121004.84887646518,211168.8933377137,141172.17381953463,182703.62070853738,193255.62183614494,134265.78546549124,176040.2177058752,157842.26135805793,202356.4921680663,142526.38856850876,176897.4613203509,130410.31035120082,,135316.56858150638,107193.53290608281,156357.78536753095,101646.26099020267,116614.32362883278,131939.14953048524,120823.0946776078,110949.98212599625,155952.06830516655,,138685.51915932042,137796.74343823778,111636.0871879428,100978.605400921,123187.2668536651,88996.57782975142,87244.81544545431,97955.54097930582,73269.8893970248,125021.15158608643,,170709.43625590188,87504.66517729993,100501.52422331653,89371.61314546503,152559.98682150684,,83524.33146943017,106430.37199759157,116538.50906023469,91926.50028285851,108634.66977779365
